group,character,timestep_start,timestep_stop
The_Matrix,Jones,0,70
The_Matrix,Jones,72,74
The_Matrix,Jones,77,98
The_Matrix,Smith,0,74
The_Matrix,Smith,77,86
Inside_Smith,Smith,87,88
The_Matrix,Brown,0,70
The_Matrix,Brown,77,98
The_Matrix,Trinity,0,2
The_Matrix,Oracle,40,45
Nebuchadnezzar,Trinity,3,9
The_Matrix,Trinity,10,24
The_Matrix,Neo,6,15
The_Matrix,Neo,16,19
The_Matrix,Morpheus,23,24
The_Matrix,Cypher,23,24
The_Matrix,Apoc,20,24
The_Matrix,Switch,20,24
The_Matrix,Neo,20,24
Nebuchadnezzar,Tank,25,99
Nebuchadnezzar,Dozer,25,55
Nebuchadnezzar,Mouse,25,36
Nebuchadnezzar,Morpheus,25,36
Nebuchadnezzar,Cypher,25,29
Nebuchadnezzar,Apoc,25,36
Nebuchadnezzar,Switch,25,36
Nebuchadnezzar,Neo,25,36
Nebuchadnezzar,Trinity,25,36
The_Matrix,Neo,37,40
The_Matrix,Mouse,37,48
The_Matrix,Cypher,37,54
The_Matrix,Cypher,30,32
The_Matrix,Morpheus,37,44
The_Matrix,Switch,37,57
The_Matrix,Apoc,37,57
The_Matrix,Neo,43,62
The_Matrix,Trinity,37,61
The_Matrix,Morpheus,45,52
The_Matrix,Morpheus,53,78
The_Matrix,Neo,66,86
The_Matrix,Trinity,66,80
Nebuchadnezzar,Cypher,55,57
Nebuchadnezzar,Trinity,62,65
Nebuchadnezzar,Neo,63,65
Nebuchadnezzar,Morpheus,79,99
Nebuchadnezzar,Trinity,81,99
Nebuchadnezzar,Neo,96,99
The_Matrix,Neo,94,95
Nebuchadnezzar,Cypher,33,36
Inside_Smith,Neo,87,93
Nebuchadnezzar,Squid_Robots,86,96
