group,character,timestep_start,timestep_stop
group1,p110066525,0,13
group3,p110066525,14,20
group9,p110066525,21,29
group1,p110065956,0,8
group2,p110065956,9,13
group9,p110065956,14,29
group1,p110058187,0,12
group4,p110058187,13,16
group9,p110058187,17,29
group1,p110069951,0,0
group6,p110069951,1,13
group9,p110069951,14,29
group1,p110069355,0,0
group6,p110069355,1,8
group9,p110069355,9,29
group1,p110048930,0,11
group3,p110048930,12,23
group9,p110048930,24,29
group1,p110067414,0,20
group6,p110067414,21,29
group1,p110072098,0,20
group9,p110072098,21,29
group1,p110048773,0,12
group6,p110048773,13,13
group9,p110048773,14,29
group1,p110081911,0,12
group4,p110081911,13,13
group5,p110081911,14,25
group9,p110081911,26,29
group1,p110065273,0,21
group9,p110065273,22,29
group1,p110079443,0,8
group2,p110079443,9,11
group5,p110079443,12,14
group9,p110079443,15,29
group1,p110087383,0,15
group4,p110087383,16,19
group5,p110087383,20,26
group8,p110087383,27,29
group1,p110086641,0,11
group9,p110086641,12,29
group1,p110021989,0,8
group6,p110021989,9,29
group1,p110061403,0,15
group6,p110061403,16,17
group9,p110061403,18,29
group1,p110080264,0,19
group9,p110080264,20,29
group1,p110062654,0,15
group4,p110062654,16,17
group9,p110062654,18,29
group1,p110079836,0,22
group9,p110079836,23,29
group1,p110065080,0,22
group6,p110065080,23,27
group9,p110065080,28,29
group1,p110054431,0,18
group10,p110054431,19,29
group1,p110076007,0,11
group4,p110076007,12,13
group8,p110076007,14,16
group9,p110076007,17,29
group1,p110082272,0,10
group7,p110082272,11,11
group8,p110082272,12,29
group1,p110086511,0,15
group2,p110086511,16,22
group9,p110086511,23,29
group1,p110072705,0,12
group4,p110072705,13,23
group9,p110072705,24,29
group1,p110049845,0,10
group2,p110049845,11,11
group9,p110049845,12,29
group1,p110048710,0,12
group5,p110048710,13,22
group9,p110048710,23,29
group1,p110069415,0,12
group7,p110069415,13,29
group1,p110072112,0,17
group6,p110072112,18,26
group9,p110072112,27,29
group1,p110068480,0,19
group9,p110068480,20,29
group1,p110058407,0,16
group5,p110058407,17,24
group9,p110058407,25,29
group1,p110051657,0,20
group7,p110051657,21,29
group1,p110076197,0,8
group5,p110076197,9,18
group9,p110076197,19,29
group1,p110063905,0,8
group2,p110063905,9,22
group9,p110063905,23,29
group1,p110058766,0,11
group6,p110058766,12,12
group8,p110058766,13,29
group1,p110059777,0,15
group5,p110059777,16,19
group9,p110059777,20,29
group1,p110080082,0,14
group7,p110080082,15,21
group9,p110080082,22,29
group1,p110066911,0,21
group9,p110066911,22,29
group1,p110069507,0,10
group5,p110069507,11,17
group8,p110069507,18,29
group1,p110078363,0,12
group5,p110078363,13,13
group9,p110078363,14,29
group1,p110069468,0,9
group4,p110069468,10,17
group9,p110069468,18,29
group1,p110022653,0,12
group5,p110022653,13,17
group9,p110022653,18,29
group1,p110074040,0,19
group6,p110074040,20,21
group9,p110074040,22,29
group1,p110082701,0,8
group5,p110082701,9,10
group9,p110082701,11,29
group1,p110063689,0,8
group5,p110063689,9,13
group9,p110063689,14,29
group1,p110081379,0,11
group5,p110081379,12,27
group8,p110081379,28,29
group1,p110080759,0,14
group7,p110080759,15,16
group9,p110080759,17,29
group1,p110050052,0,10
group6,p110050052,11,27
group9,p110050052,28,29
group1,p110071250,0,12
group9,p110071250,13,29
group1,p110073115,0,13
group3,p110073115,14,15
group5,p110073115,16,20
group9,p110073115,21,29
