group,character,timestep_start,timestep_stop
death_star,VADER,1,78
death_star,OBI-WAN,23,34
death_star,C-3PO,23,31
death_star,R2-D2,23,31
death_star,LEIA,1,31
death_star,LUKE,23,31
death_star,HAN,23,31
death_star,CHEWIE,23,31
death_star,R2-D2,47,50
death_star,LUKE,47,50
death_star,HAN,47,50
death_star,CHEWIE,47,50
death_star,VADER,118,200
death_star,LANDO,191,193
death_star,LUKE,180,193
death_star,EMPEROR,135,195
dagobah,YODA,86,160
dagobah,LUKE,91,105
dagobah,R2-D2,91,105
dagobah,LUKE,158,160
hoth,LUKE,69,78
hoth,HAN,69,78
hoth,R2-D2,73,78
hoth,CHEWIE,73,78
hoth,C-3PO,73,78
hoth,LEIA,73,78
cloud_city,VADER,82,104
cloud_city,LUKE,110,135
cloud_city,LANDO,82,105
cloud_city,LEIA,84,135
cloud_city,C-3PO,84,135
cloud_city,R2-D2,110,135
cloud_city,CHEWIE,84,135
cloud_city,HAN,84,100
cloud_city,BOBA_FETT,93,100
endor,LUKE,152,154
endor,HAN,154,200
endor,LEIA,152,200
endor,C-3PO,152,200
endor,R2-D2,152,200
endor,CHEWIE,152,200
endor,LUKE,198,200
tatooine,JABBA,1,152
tatooine,C-3PO,1,22
tatooine,R2-D2,1,22
tatooine,LUKE,1,22
tatooine,OBI-WAN,1,22
tatooine,HAN,1,22
tatooine,CHEWIE,1,22
tatooine,GREEDO,12,16
tatooine,BOBA_FETT,102,152
tatooine,HAN,102,151
tatooine,R2-D2,139,151
tatooine,C-3PO,139,151
tatooine,CHEWIE,148,153
tatooine,LEIA,148,153
tatooine,LUKE,153,155
tatooine,LUKE,165,174
