"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"D³ Data-Driven Documents","M. Bostock; V. Ogievetsky; J. Heer","Comput. Sci. Dept., Stanford Univ., Stanford, CA, USA; Comput. Sci. Dept., Stanford Univ., Stanford, CA, USA; Comput. Sci. Dept., Stanford Univ., Stanford, CA, USA","IEEE Transactions on Visualization and Computer Graphics","3 Nov 2011","2011","17","12","2301","2309","Data-Driven Documents (D3) is a novel representation-transparent approach to visualization for the web. Rather than hide the underlying scenegraph within a toolkit-specific abstraction, D3 enables direct inspection and manipulation of a native representation: the standard document object model (DOM). With D3, designers selectively bind input data to arbitrary document elements, applying dynamic transforms to both generate and modify content. We show how representational transparency improves expressiveness and better integrates with developer tools than prior approaches, while offering comparable notational efficiency and retaining powerful declarative components. Immediate evaluation of operators further simplifies debugging and allows iterative development. Additionally, we demonstrate how D3 transforms naturally enable animation and interaction with dramatic performance improvements over intermediate representations.","1941-0506","","10.1109/TVCG.2011.185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064996","Information visualization;user interfaces;toolkits;2D graphics.","Data visualization;Cascading style sheets;Image color analysis;Debugging;Information analysis","computer animation;data visualisation;document handling;user interfaces;Web sites","data-driven documents;representation-transparent approach;Web visualization;toolkit-specific abstraction;native representation;standard document object model;document elements;dynamic transforms;representational transparency;animation;scene graph","","1628","13","41","","3 Nov 2011","","","IEEE","IEEE Journals"
"UpSet: Visualization of Intersecting Sets","A. Lex; N. Gehlenborg; H. Strobelt; R. Vuillemot; H. Pfister",Hendrik Strobelt and Hanspeter Pfister are with Harvard University.; Harvard Medical School; Hendrik Strobelt and Hanspeter Pfister are with Harvard University.; Romain Vuillemot is with Harvard University; Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,"IEEE Transactions on Visualization and Computer Graphics","6 Nov 2014","2014","20","12","1983","1992","Understanding relationships between sets is an important analysis task that has received widespread attention in the visualization community. The major challenge in this context is the combinatorial explosion of the number of set intersections if the number of sets exceeds a trivial threshold. In this paper we introduce UpSet, a novel visualization technique for the quantitative analysis of sets, their intersections, and aggregates of intersections. UpSet is focused on creating task-driven aggregates, communicating the size and properties of aggregates and intersections, and a duality between the visualization of the elements in a dataset and their set membership. UpSet visualizes set intersections in a matrix layout and introduces aggregates based on groupings and queries. The matrix layout enables the effective representation of associated data, such as the number of elements in the aggregates and intersections, as well as additional summary statistics derived from subset or element attributes. Sorting according to various measures enables a task-driven analysis of relevant intersections and aggregates. The elements represented in the sets and their associated attributes are visualized in a separate view. Queries based on containment in specific intersections, aggregates or driven by attribute filters are propagated between both views. We also introduce several advanced visual encodings and interaction methods to overcome the problems of varying scales and to address scalability. UpSet is web-based and open source. We demonstrate its general utility in multiple use cases from various domains.","1941-0506","","10.1109/TVCG.2014.2346248","Austrian Science Fund (J 3437-N15) the Air Force Research Laboratory and DARPA(grant numbers:FA8750-12-C-0300); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876017","Sets;set visualization;sets intersections;set attributes;set relationships;multidimensional data","Data visualization;Visualization;Power generation;Sorting;Information analysis","combinatorial mathematics;data visualisation;duality (mathematics);Internet;mathematics computing;matrix algebra;public domain software;set theory;sorting","visualization community;combinatorial explosion;set intersection visualization;UpSet;quantitative set analysis;task-driven aggregates;duality;matrix layout;associated data representation;summary statistics;subset attributes;element attributes;task-driven analysis;queries;groupings;advanced visual encodings;Web-based approach;open source approach","Computer Graphics;Databases, Factual;Informatics","826","","29","OAPA","6 Nov 2014","","","IEEE","IEEE Journals"
"Graph visualization and navigation in information visualization: A survey","I. Herman; G. Melancon; M. S. Marshall","Centre for Math. & Comput. Sci., CWI, Amsterdam, Netherlands; NA; NA","IEEE Transactions on Visualization and Computer Graphics","6 Aug 2002","2000","6","1","24","43","This is a survey on graph visualization and navigation techniques, as used in information visualization. Graphs appear in numerous applications such as Web browsing, state-transition diagrams, and data structures. The ability to visualize and to navigate in these potentially large, abstract graphs is often a crucial part of an application. Information visualization has specific requirements, which means that this survey approaches the results of traditional graph drawing from a different perspective.","1941-0506","","10.1109/2945.841119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=841119","","Navigation;Data visualization;Tree graphs;Application software;Data structures;Project management;Usability;Computer Society;Books;Taxonomy","data visualisation;graphs","graph visualization;graph navigation;information visualization;Web browsing;state-transition diagrams;data structures;abstract graphs;graph drawing","","819","33","130","","6 Aug 2002","","","IEEE","IEEE Journals"
"Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data","D. Holten",Technische Univ. Eindhoven,"IEEE Transactions on Visualization and Computer Graphics","20 Nov 2006","2006","12","5","741","748","A compound graph is a frequently encountered type of data set. Relations are given between items, and a hierarchy is defined on the items as well. We present a new method for visualizing such compound graphs. Our approach is based on visually bundling the adjacency edges, i.e., non-hierarchical edges, together. We realize this as follows. We assume that the hierarchy is shown via a standard tree visualization method. Next, we bend each adjacency edge, modeled as a B-spline curve, toward the polyline defined by the path via the inclusion edges from one node to another. This hierarchical bundling reduces visual clutter and also visualizes implicit adjacency edges between parent nodes that are the result of explicit adjacency edges between their respective child nodes. Furthermore, hierarchical edge bundling is a generic method which can be used in conjunction with existing tree visualization techniques. We illustrate our technique by providing example visualizations and discuss the results based on an informal evaluation provided by potential users of such visualizations.","1941-0506","","10.1109/TVCG.2006.147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4015425","Network visualization;edge bundling;edge aggregation;edge concentration;curves;graph visualization;tree visualization;node-link diagrams;hierarchies;treemaps.","Data visualization;Tree graphs;Wires;Cables;Spline;Software systems;Social network services;Displays;Tree data structures","curve fitting;data visualisation;splines (mathematics);tree data structures;trees (mathematics)","hierarchical edge bundles;adjacency relation visualization;hierarchical data;compound graph;tree visualization method;B-spline curve;visual clutter","","567","18","33","IEEE","20 Nov 2006","","","IEEE","IEEE Journals"
"A visibility matching tone reproduction operator for high dynamic range scenes","G. W. Larson; H. Rushmeier; C. Piatko","Silicon Graphics Comput. Syst., Mountain View, CA, USA; NA; NA","IEEE Transactions on Visualization and Computer Graphics","6 Aug 2002","1997","3","4","291","306","We present a tone reproduction operator that preserves visibility in high dynamic range scenes. Our method introduces a new histogram adjustment technique, based on the population of local adaptation luminances in a scene. To match subjective viewing experience, the method incorporates models for human contrast sensitivity, glare, spatial acuity, and color sensitivity. We compare our results to previous work and present examples of our techniques applied to lighting simulation and electronic photography.","1941-0506","","10.1109/2945.646233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=646233","","Dynamic range;Layout;Humans;Photography;Computer displays;Image generation;Histograms;Image converters;Chemistry;Lighting control","computer graphics;user interfaces;brightness;lighting;digital simulation;photography;visibility","visibility matching;tone reproduction operator;high dynamic range scenes;histogram adjustment technique;local adaptation luminances;subjective viewing experience;human contrast sensitivity;glare;spatial acuity;color sensitivity;lighting simulation;electronic photography","","449","64","26","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Edgebreaker: connectivity compression for triangle meshes","J. Rossignac","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","IEEE Transactions on Visualization and Computer Graphics","6 Aug 2002","1999","5","1","47","61","Edgebreaker is a simple scheme for compressing the triangle/vertex incidence graphs (sometimes called connectivity or topology) of three-dimensional triangle meshes. Edgebreaker improves upon the storage required by previously reported schemes, most of which can guarantee only an O(t log(t)) storage cost for the incidence graph of a mesh of t triangles. Edgebreaker requires at most 2t bits for any mesh homeomorphic to a sphere and supports fully general meshes by using additional storage per handle and hole. For large meshes, entropy coding yields less than 1.5 bits per triangle. Edgebreaker's compression and decompression processes perform identical traversals of the mesh from one triangle to an adjacent one. At each stage, compression produces an op-code describing the topological relation between the current triangle and the boundary of the remaining part of the mesh. Decompression uses these op-codes to reconstruct the entire incidence graph. Because Edgebreaker's compression and decompression are independent of the vertex locations, they may be combined with a variety of vertex-compressing techniques that exploit topological information about the mesh to better estimate vertex locations. Edgebreaker may be used to compress the connectivity of an entire mesh bounding a 3D polyhedron or the connectivity of a triangulated surface patch whose boundary need not be encoded. The paper also offers a comparative survey of the rapidly growing field of geometric compression.","1941-0506","","10.1109/2945.764870","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=764870","","Computer graphics;Solid modeling;Costs;Application software;Topology;Entropy coding;Computer architecture;Petroleum;Computational modeling;Analytical models","solid modelling;data compression;computational geometry;mesh generation;graph theory","Edgebreaker;connectivity compression;triangle meshes;triangle-vertex incidence graphs;topology;storage cost;entropy coding;geometric compression;decompression;vertex locations;vertex-compressing techniques;3D polyhedron;triangulated surface patch;3D models;solid modelling","","363","11","41","","6 Aug 2002","","","IEEE","IEEE Journals"
"NodeTrix: a Hybrid Visualization of Social Networks","N. Henry; J. Fekete; M. J. McGuffin","INRIA Futurs/University Paris-Sud, France and University of Sydney, Australia; INRIA Futurs, France; Ontario Cancer Institute and University of Toronto, Canada","IEEE Transactions on Visualization and Computer Graphics","5 Nov 2007","2007","13","6","1302","1309","The need to visualize large social networks is growing as hardware capabilities make analyzing large networks feasible and many new data sets become available. Unfortunately, the visualizations in existing systems do not satisfactorily resolve the basic dilemma of being readable both for the global structure of the network and also for detailed analysis of local communities. To address this problem, we present NodeTrix, a hybrid representation for networks that combines the advantages of two traditional representations: node-link diagrams are used to show the global structure of a network, while arbitrary portions of the network can be shown as adjacency matrices to better support the analysis of communities. A key contribution is a set of interaction techniques. These allow analysts to create a NodeTrix visualization by dragging selections to and from node-link and matrix forms, and to flexibly manipulate the NodeTrix representation to explore the dataset and create meaningful summary visualizations of their findings. Finally, we present a case study applying NodeTrix to the analysis of the InfoVis 2004 coauthorship dataset to illustrate the capabilities of NodeTrix as both an exploration tool and an effective means of communicating results.","1941-0506","","10.1109/TVCG.2007.70582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4376154","Network visualization;Matrix visualization;Hybrid visualization;Aggregation;Interaction.","Layout;Color;Animation;Matrix converters;Sparse matrices;Aggregates","data structures;data visualisation;matrix algebra;social sciences computing","NodeTrix visualization;social networks hybrid visualization;hardware capabilities;hybrid representation;adjacency matrices;interaction techniques;dragging selections;InfoVis 2004 coauthorship dataset","Algorithms;Computer Graphics;Computer Simulation;Models, Theoretical;Social Support;User-Computer Interface","306","5","35","","5 Nov 2007","","","IEEE","IEEE Journals"
"Real-time markerless tracking for augmented reality: the virtual visual servoing framework","A. I. Comport; E. Marchand; M. Pressigout; F. Chaumette","IRISA-INRIA Rennes, France; IRISA-INRIA Rennes, France; IRISA-INRIA Rennes, France; IRISA-INRIA Rennes, France","IEEE Transactions on Visualization and Computer Graphics","5 Jun 2006","2006","12","4","615","628","Tracking is a very important research subject in a real-time augmented reality context. The main requirements for trackers are high accuracy and little latency at a reasonable cost. In order to address these issues, a real-time, robust, and efficient 3D model-based tracking algorithm is proposed for a ""video see through"" monocular vision system. The tracking of objects in the scene amounts to calculating the pose between the camera and the objects. Virtual objects can then be projected into the scene using the pose. In this paper, nonlinear pose estimation is formulated by means of a virtual visual servoing approach. In this context, the derivation of point-to-curves interaction matrices are given for different 3D geometrical primitives including straight lines, circles, cylinders, and spheres. A local moving edges tracker is used in order to provide real-time tracking of points normal to the object contours. Robustness is obtained by integrating an M-estimator into the visual control law via an iteratively reweighted least squares implementation. This approach is then extended to address the 3D model-free augmented reality problem. The method presented in this paper has been validated on several complex image sequences including outdoor environments. Results show the method to be robust to occlusion, changes in illumination, and mistracking.","1941-0506","","10.1109/TVCG.2006.78","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1634325","Augmented reality;virtual visual servoing;robust estimators;real-time;model-based tracking;model-free tracking.","Augmented reality;Visual servoing;Robustness;Layout;Delay;Costs;Real time systems;Machine vision;Cameras;Robust control","computational geometry;image motion analysis;augmented reality;tracking;object detection;image sequences;least squares approximations","real-time markerless tracking;3D model-free augmented reality;virtual visual servoing framework;3D model-based tracking algorithm;monocular vision system;virtual objects;point-to-curves interaction matrices;3D geometrical primitives;M-estimator;visual control law;image sequences","Algorithms;Computer Graphics;Computer Systems;Feedback;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Information Storage and Retrieval;Signal Processing, Computer-Assisted;User-Computer Interface","305","14","55","","5 Jun 2006","","","IEEE","IEEE Journals"
"What Makes a Visualization Memorable?","M. A. Borkin; A. A. Vo; Z. Bylinskii; P. Isola; S. Sunkavalli; A. Oliva; H. Pfister",Harvard University; Harvard University; Massachusetts Institute of Technology; Massachusetts Institute of Technology; Harvard University; Massachusetts Institute of Technology; Harvard University,"IEEE Transactions on Visualization and Computer Graphics","16 Oct 2013","2013","19","12","2306","2315","An ongoing debate in the Visualization community concerns the role that visualization types play in data understanding. In human cognition, understanding and memorability are intertwined. As a first step towards being able to ask questions about impact and effectiveness, here we ask: 'What makes a visualization memorable?' We ran the largest scale visualization study to date using 2,070 single-panel visualizations, categorized with visualization type (e.g., bar chart, line graph, etc.), collected from news media sites, government reports, scientific journals, and infographic sources. Each visualization was annotated with additional attributes, including ratings for data-ink ratios and visual densities. Using Amazon's Mechanical Turk, we collected memorability scores for hundreds of these visualizations, and discovered that observers are consistent in which visualizations they find memorable and forgettable. We find intuitive results (e.g., attributes like color and the inclusion of a human recognizable object enhance memorability) and less intuitive results (e.g., common graphs are less memorable than unique visualization types). Altogether our findings suggest that quantifying memorability is a general metric of the utility of information, an essential step towards determining how to design effective visualizations.","1941-0506","","10.1109/TVCG.2013.234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6634103","Data visualization;Taxonomy;Information technology;Encoding;memorability;Visualization taxonomy;information visualization","Data visualization;Taxonomy;Information technology;Encoding","data visualisation","visualization community;data understanding;visualization type;news media sites;government reports;scientific journals;infographic sources;data-ink ratios;visual densities;Amazon;Mechanical Turk;memorability scores","Artificial Intelligence;Cues;Humans;Image Interpretation, Computer-Assisted;Memory;Pattern Recognition, Visual;Task Performance and Analysis;User-Computer Interface","261","1","39","","16 Oct 2013","","","IEEE","IEEE Journals"
"Dynamic range reduction inspired by photoreceptor physiology","E. Reinhard; K. Devlin","Sch. of Comput. Sci., Univ. of Central Florida, Orlando, FL, USA; NA","IEEE Transactions on Visualization and Computer Graphics","17 Jan 2005","2005","11","1","13","24","A common task in computer graphics is the mapping of digital high dynamic range images to low dynamic range display devices such as monitors and printers. This task is similar to the adaptation processes which occur in the human visual system. Physiological evidence suggests that adaptation already occurs in the photoreceptors, leading to a straightforward model that can be easily adapted for tone reproduction. The result is a fast and practical algorithm for general use with intuitive user parameters that control intensity, contrast, and level of chromatic adaptation, respectively.","1941-0506","","10.1109/TVCG.2005.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1359728","Index Terms- Tone reproduction;dynamic range reduction;photoreceptor physiology.","Dynamic range;Photoreceptors;Physiology;Layout;Liquid crystal displays;Computer displays;Printers;Computer graphics;Data acquisition;Computer Society","rendering (computer graphics);digital photography;image reconstruction","tone reproduction;dynamic range reduction;photoreceptor physiology;computer graphics rendering","Algorithms;Animals;Biomimetics;Color;Computer Graphics;Data Display;Humans;Image Enhancement;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Models, Biological;Online Systems;Photoreceptors;Signal Processing, Computer-Assisted;User-Computer Interface;Vision","240","19","42","IEEE","17 Jan 2005","","","IEEE","IEEE Journals"
