"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data","D. Holten",Technische Univ. Eindhoven,"IEEE Transactions on Visualization and Computer Graphics","20 Nov 2006","2006","12","5","741","748","A compound graph is a frequently encountered type of data set. Relations are given between items, and a hierarchy is defined on the items as well. We present a new method for visualizing such compound graphs. Our approach is based on visually bundling the adjacency edges, i.e., non-hierarchical edges, together. We realize this as follows. We assume that the hierarchy is shown via a standard tree visualization method. Next, we bend each adjacency edge, modeled as a B-spline curve, toward the polyline defined by the path via the inclusion edges from one node to another. This hierarchical bundling reduces visual clutter and also visualizes implicit adjacency edges between parent nodes that are the result of explicit adjacency edges between their respective child nodes. Furthermore, hierarchical edge bundling is a generic method which can be used in conjunction with existing tree visualization techniques. We illustrate our technique by providing example visualizations and discuss the results based on an informal evaluation provided by potential users of such visualizations.","1941-0506","","10.1109/TVCG.2006.147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4015425","Network visualization;edge bundling;edge aggregation;edge concentration;curves;graph visualization;tree visualization;node-link diagrams;hierarchies;treemaps.","Data visualization;Tree graphs;Wires;Cables;Spline;Software systems;Social network services;Displays;Tree data structures","curve fitting;data visualisation;splines (mathematics);tree data structures;trees (mathematics)","hierarchical edge bundles;adjacency relation visualization;hierarchical data;compound graph;tree visualization method;B-spline curve;visual clutter","","566","18","33","IEEE","20 Nov 2006","","","IEEE","IEEE Journals"
"Edgebreaker: connectivity compression for triangle meshes","J. Rossignac","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","IEEE Transactions on Visualization and Computer Graphics","6 Aug 2002","1999","5","1","47","61","Edgebreaker is a simple scheme for compressing the triangle/vertex incidence graphs (sometimes called connectivity or topology) of three-dimensional triangle meshes. Edgebreaker improves upon the storage required by previously reported schemes, most of which can guarantee only an O(t log(t)) storage cost for the incidence graph of a mesh of t triangles. Edgebreaker requires at most 2t bits for any mesh homeomorphic to a sphere and supports fully general meshes by using additional storage per handle and hole. For large meshes, entropy coding yields less than 1.5 bits per triangle. Edgebreaker's compression and decompression processes perform identical traversals of the mesh from one triangle to an adjacent one. At each stage, compression produces an op-code describing the topological relation between the current triangle and the boundary of the remaining part of the mesh. Decompression uses these op-codes to reconstruct the entire incidence graph. Because Edgebreaker's compression and decompression are independent of the vertex locations, they may be combined with a variety of vertex-compressing techniques that exploit topological information about the mesh to better estimate vertex locations. Edgebreaker may be used to compress the connectivity of an entire mesh bounding a 3D polyhedron or the connectivity of a triangulated surface patch whose boundary need not be encoded. The paper also offers a comparative survey of the rapidly growing field of geometric compression.","1941-0506","","10.1109/2945.764870","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=764870","","Computer graphics;Solid modeling;Costs;Application software;Topology;Entropy coding;Computer architecture;Petroleum;Computational modeling;Analytical models","solid modelling;data compression;computational geometry;mesh generation;graph theory","Edgebreaker;connectivity compression;triangle meshes;triangle-vertex incidence graphs;topology;storage cost;entropy coding;geometric compression;decompression;vertex locations;vertex-compressing techniques;3D polyhedron;triangulated surface patch;3D models;solid modelling","","363","11","41","","6 Aug 2002","","","IEEE","IEEE Journals"
"NodeTrix: a Hybrid Visualization of Social Networks","N. Henry; J. Fekete; M. J. McGuffin","INRIA Futurs/University Paris-Sud, France and University of Sydney, Australia; INRIA Futurs, France; Ontario Cancer Institute and University of Toronto, Canada","IEEE Transactions on Visualization and Computer Graphics","5 Nov 2007","2007","13","6","1302","1309","The need to visualize large social networks is growing as hardware capabilities make analyzing large networks feasible and many new data sets become available. Unfortunately, the visualizations in existing systems do not satisfactorily resolve the basic dilemma of being readable both for the global structure of the network and also for detailed analysis of local communities. To address this problem, we present NodeTrix, a hybrid representation for networks that combines the advantages of two traditional representations: node-link diagrams are used to show the global structure of a network, while arbitrary portions of the network can be shown as adjacency matrices to better support the analysis of communities. A key contribution is a set of interaction techniques. These allow analysts to create a NodeTrix visualization by dragging selections to and from node-link and matrix forms, and to flexibly manipulate the NodeTrix representation to explore the dataset and create meaningful summary visualizations of their findings. Finally, we present a case study applying NodeTrix to the analysis of the InfoVis 2004 coauthorship dataset to illustrate the capabilities of NodeTrix as both an exploration tool and an effective means of communicating results.","1941-0506","","10.1109/TVCG.2007.70582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4376154","Network visualization;Matrix visualization;Hybrid visualization;Aggregation;Interaction.","Layout;Color;Animation;Matrix converters;Sparse matrices;Aggregates","data structures;data visualisation;matrix algebra;social sciences computing","NodeTrix visualization;social networks hybrid visualization;hardware capabilities;hybrid representation;adjacency matrices;interaction techniques;dragging selections;InfoVis 2004 coauthorship dataset","Algorithms;Computer Graphics;Computer Simulation;Models, Theoretical;Social Support;User-Computer Interface","306","5","35","","5 Nov 2007","","","IEEE","IEEE Journals"
"Real-time markerless tracking for augmented reality: the virtual visual servoing framework","A. I. Comport; E. Marchand; M. Pressigout; F. Chaumette","IRISA-INRIA Rennes, France; IRISA-INRIA Rennes, France; IRISA-INRIA Rennes, France; IRISA-INRIA Rennes, France","IEEE Transactions on Visualization and Computer Graphics","5 Jun 2006","2006","12","4","615","628","Tracking is a very important research subject in a real-time augmented reality context. The main requirements for trackers are high accuracy and little latency at a reasonable cost. In order to address these issues, a real-time, robust, and efficient 3D model-based tracking algorithm is proposed for a ""video see through"" monocular vision system. The tracking of objects in the scene amounts to calculating the pose between the camera and the objects. Virtual objects can then be projected into the scene using the pose. In this paper, nonlinear pose estimation is formulated by means of a virtual visual servoing approach. In this context, the derivation of point-to-curves interaction matrices are given for different 3D geometrical primitives including straight lines, circles, cylinders, and spheres. A local moving edges tracker is used in order to provide real-time tracking of points normal to the object contours. Robustness is obtained by integrating an M-estimator into the visual control law via an iteratively reweighted least squares implementation. This approach is then extended to address the 3D model-free augmented reality problem. The method presented in this paper has been validated on several complex image sequences including outdoor environments. Results show the method to be robust to occlusion, changes in illumination, and mistracking.","1941-0506","","10.1109/TVCG.2006.78","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1634325","Augmented reality;virtual visual servoing;robust estimators;real-time;model-based tracking;model-free tracking.","Augmented reality;Visual servoing;Robustness;Layout;Delay;Costs;Real time systems;Machine vision;Cameras;Robust control","computational geometry;image motion analysis;augmented reality;tracking;object detection;image sequences;least squares approximations","real-time markerless tracking;3D model-free augmented reality;virtual visual servoing framework;3D model-based tracking algorithm;monocular vision system;virtual objects;point-to-curves interaction matrices;3D geometrical primitives;M-estimator;visual control law;image sequences","Algorithms;Computer Graphics;Computer Systems;Feedback;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Information Storage and Retrieval;Signal Processing, Computer-Assisted;User-Computer Interface","305","14","55","","5 Jun 2006","","","IEEE","IEEE Journals"
"Towards Better Analysis of Deep Convolutional Neural Networks","M. Liu; J. Shi; Z. Li; C. Li; J. Zhu; S. Liu","School of Software and TNListTsinghua University; Dept. of Comp. Sci. & Tech., State Key Lab of Intell. Tech. & Sys.TNList LabCBICR Center; School of Software and TNListTsinghua University; Dept. of Comp. Sci. & Tech., State Key Lab of Intell. Tech. & Sys.TNList LabCBICR Center; School of Software and TNListTsinghua University; School of Software and TNListTsinghua University","IEEE Transactions on Visualization and Computer Graphics","17 Nov 2016","2017","23","1","91","100","Deep convolutional neural networks (CNNs) have achieved breakthrough performance in many pattern recognition tasks such as image classification. However, the development of high-quality deep models typically relies on a substantial amount of trial-and-error, as there is still no clear understanding of when and why a deep model works. In this paper, we present a visual analytics approach for better understanding, diagnosing, and refining deep CNNs. We formulate a deep CNN as a directed acyclic graph. Based on this formulation, a hybrid visualization is developed to disclose the multiple facets of each neuron and the interactions between them. In particular, we introduce a hierarchical rectangle packing algorithm and a matrix reordering algorithm to show the derived features of a neuron cluster. We also propose a biclustering-based edge bundling method to reduce visual clutter caused by a large number of connections between neurons. We evaluated our method on a set of CNNs and the results are generally favorable.","1941-0506","","10.1109/TVCG.2016.2598831","National NSF of China(grant numbers:61672308,61322308,61332007); Microsoft Research(grant numbers:FY15-RES-OPP-112); National Basic Research Program (973 Program) of China(grant numbers:2013CB329403); Youth Top-notch Talent Support Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7536654","Deep convolutional neural networks;rectangle packing;matrix reordering;edge bundling;biclustering","Neurons;Neural networks;Training;Visual analytics;Clustering algorithms;Image edge detection","convolution;data visualisation;directed graphs;edge detection;matrix algebra;neural nets","deep convolutional neural networks;pattern recognition tasks;image classification;high-quality deep models;visual analytics approach;deep CNN;directed acyclic graph;hybrid visualization;hierarchical rectangle packing algorithm;matrix reordering algorithm;neuron cluster;biclustering-based edge bundling method;visual clutter reduction","","212","","60","IEEE","9 Aug 2016","","","IEEE","IEEE Journals"
"A survey of visibility for walkthrough applications","D. Cohen-Or; Y. L. Chrysanthou; C. T. Silva; F. Durand","Sch. of Comput. Sci., Tel Aviv Univ., Israel; NA; NA; NA","IEEE Transactions on Visualization and Computer Graphics","25 Jun 2003","2003","9","3","412","431","Visibility algorithms for walkthrough and related applications have grown into a significant area, spurred by the growth in the complexity of models and the need for highly interactive ways of navigating them. In this survey, we review the fundamental issues in visibility and conduct an overview of the visibility culling techniques developed in the last decade. The taxonomy we use distinguishes point-based methods from-region methods. Point-based methods are further subdivided into object and image-precision techniques, while from-region approaches can take advantage of the cell-and-portal structure of architectural environments or handle generic scenes.","1941-0506","","10.1109/TVCG.2003.1207447","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1207447","","Layout;Geometry;Computer graphics;Rendering (computer graphics);Testing;Navigation;Taxonomy;Three dimensional displays;Image generation;Acceleration","rendering (computer graphics);visual perception;computational geometry","visibility computations;interactive rendering;occlusion culling;walkthrough systems;visibility-culling;point-based methods","","177","21","98","","25 Jun 2003","","","IEEE","IEEE Journals"
"Geometry-Based Edge Clustering for Graph Visualization","W. Cui; H. Zhou; H. Qu; P. C. Wong; X. Li",the Hong Kong University of Science and Technology; the Hong Kong University of Science and Technology; the Hong Kong University of Science and Technology; Pacific Northwest National Laboratory; Peking University,"IEEE Transactions on Visualization and Computer Graphics","24 Oct 2008","2008","14","6","1277","1284","Graphs have been widely used to model relationships among data. For large graphs, excessive edge crossings make the display visually cluttered and thus difﬁcult to explore. In this paper, we propose a novel geometry-based edge-clustering framework that can group edges into bundles to reduce the overall edge crossings. Our method uses a control mesh to guide the edge-clustering process; edge bundles can be formed by forcing all edges to pass through some control points on the mesh. The control mesh can be generated at different levels of detail either manually or automatically based on underlying graph patterns. Users can further interact with the edge-clustering results through several advanced visualization techniques such as color and opacity enhancement. Compared with other edge-clustering methods, our approach is intuitive, ﬂexible, and efﬁcient. The experiments on some large graphs demonstrate the effectiveness of our method.","1941-0506","","10.1109/TVCG.2008.135","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4658140","Index Terms—;Graph visualization;visual clutter;mesh;edge clustering","Cities and towns;Road transportation;Automatic control;Data visualization;Displays;Automatic generation control;Mesh generation;Telecommunication traffic;Traffic control;Switches","computational geometry;data visualisation;graphs;pattern clustering","geometry-based edge clustering;graph visualization;edge crossings;edge-clustering process","","168","6","23","IEEE","24 Oct 2008","","","IEEE","IEEE Journals"
"Terrain simplification simplified: a general framework for view-dependent out-of-core visualization","P. Lindstrom; V. Pascucci","Lawrence Livermore Nat. Lab., CA, USA; Lawrence Livermore Nat. Lab., CA, USA","IEEE Transactions on Visualization and Computer Graphics","7 Nov 2002","2002","8","3","239","254","We describe a general framework for out-of-core rendering and management of massive terrain surfaces. The two key components of this framework are: view-dependent refinement of the terrain mesh and a simple scheme for organizing the terrain data to improve coherence and reduce the number of paging events from external storage to main memory. Similar to several previously proposed methods for view-dependent refinement, we recursively subdivide a triangle mesh defined over regularly gridded data using longest-edge bisection. As part of this single, per-frame refinement pass, we perform triangle stripping, view frustum culling, and smooth blending of geometry using geomorphing. Meanwhile, our refinement framework supports a large class of error metrics, is highly competitive in terms of rendering performance, and is surprisingly simple to implement. Independent of our refinement algorithm, we also describe several data layout techniques for providing coherent access to the terrain data. By reordering the data in a manner that is more consistent with our recursive access pattern, we show that visualization of gigabyte-size data sets can be realized even on low-end, commodity PCs without the need for complicated and explicit data paging techniques. Rather, by virtue of dramatic improvements in multilevel cache coherence, we rely on the built-in paging mechanisms of the operating system to perform this task. The end result is a straightforward, simple-to-implement, pointerless indexing scheme that dramatically improves the data locality and paging performance over conventional matrix-based layouts.","1941-0506","","10.1109/TVCG.2002.1021577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021577","","Data visualization;Geometry;Operating systems;Large-scale systems;Organizing;Personal communication networks;Indexing;Refining;Defense industry;Toy industry","data visualisation;rendering (computer graphics);computational geometry;cache storage;paged storage;operating systems (computers);quadtrees;geography","terrain simplification;view-dependent out-of-core visualization;out-of-core rendering;quadtree;massive terrain surfaces;terrain mesh refinement;paging events;longest-edge bisection;triangle stripping;view frustum culling;smooth blending;geometry;geomorphing;error metrics;data layout techniques;commodity personal computer;multilevel cache coherence;operating system;indexing","","165","8","35","","7 Nov 2002","","","IEEE","IEEE Journals"
"Visualizing Dataflow Graphs of Deep Learning Models in TensorFlow","K. Wongsuphasawat; D. Smilkov; J. Wexler; J. Wilson; D. Mané; D. Fritz; D. Krishnan; F. B. Viégas; M. Wattenberg",Paul G. Allen School of Computer Science & EngineeringUniversity of Washington; Google Research; Google Research; Google Research; Google Research; Google Research; Google Research; Google Research; Google Research,"IEEE Transactions on Visualization and Computer Graphics","4 Dec 2017","2018","24","1","1","12","We present a design study of the TensorFlow Graph Visualizer, part of the TensorFlow machine intelligence platform. This tool helps users understand complex machine learning architectures by visualizing their underlying dataflow graphs. The tool works by applying a series of graph transformations that enable standard layout techniques to produce a legible interactive diagram. To declutter the graph, we decouple non-critical nodes from the layout. To provide an overview, we build a clustered graph using the hierarchical structure annotated in the source code. To support exploration of nested structure on demand, we perform edge bundling to enable stable and responsive cluster expansion. Finally, we detect and highlight repeated structures to emphasize a model's modular composition. To demonstrate the utility of the visualizer, we describe example usage scenarios and report user feedback. Overall, users find the visualizer useful for understanding, debugging, and sharing the structures of their models.","1941-0506","","10.1109/TVCG.2017.2744878","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8019861","Neural Network;Graph Visualization;Dataflow Graph;Clustered Graph","Visualization;Layout;Machine learning;Computational modeling;Tools;Neural networks;Standards","data flow graphs;data visualisation;graph theory;learning (artificial intelligence)","deep learning models;TensorFlow Graph Visualizer;TensorFlow machine intelligence platform;complex machine learning architectures;graph transformations;standard layout techniques;legible interactive diagram;decouple noncritical nodes;clustered graph;hierarchical structure;nested structure;stable cluster expansion;responsive cluster expansion;dataflow graphs;user feedback","","162","","57","IEEE","29 Aug 2017","","","IEEE","IEEE Journals"
"ASK-GraphView: A Large Scale Graph Visualization System","J. Abello; F. van Ham; N. Krishnan","Ask.com and DIMACS, Rutgers University; IBM, but this work was performedwhile consulting for Ask.com; Ask.com","IEEE Transactions on Visualization and Computer Graphics","20 Nov 2006","2006","12","5","669","676","We describe ASK-GraphView, a node-link-based graph visualization system that allows clustering and interactive navigation of large graphs, ranging in size up to 16 million edges. The system uses a scalable architecture and a series of increasingly sophisticated clustering algorithms to construct a hierarchy on an arbitrary, weighted undirected input graph. By lowering the interactivity requirements we can scale to substantially bigger graphs. The user is allowed to navigate this hierarchy in a top down manner by interactively expanding individual clusters. ASK-GraphView also provides facilities for filtering and coloring, annotation and cluster labeling","1941-0506","","10.1109/TVCG.2006.120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4015416","Information Visualization;Graph Visualization;Graph Clustering.","Large-scale systems;Visualization;Navigation;Clustering algorithms;Filtering;Labeling;Tree graphs;Scalability;Finite element methods;Aggregates","data visualisation;graph theory;pattern clustering","ASK-GraphView;large scale graph visualization system;node-link-based graph visualization system;graph clustering;interactive navigation;weighted undirected input graph;cluster labeling","","158","7","25","","20 Nov 2006","","","IEEE","IEEE Journals"
