group,character,timestep_start,timestep_stop
Public,p101,2,2
Industrial,p101,3,6
Dining,p101,7,7
GASTech,p101,8,8
Public,p101,9,9
GASTech,p101,10,26
Public,p101,27,27
Industrial,p101,28,30
GASTech,p101,31,74
Public,p101,75,76
Industrial,p101,77,79
GASTech,p101,80,97
Public,p101,98,98
Industrial,p101,99,103
GASTech,p101,104,170
Industrial,p101,171,174
Dining,p101,175,175
GASTech,p101,176,176
Public,p101,177,177
GASTech,p101,178,179
Unknown,p101,180,180
Industrial,p101,181,181
GASTech,p101,182,195
Public,p101,196,196
Industrial,p101,197,199
GASTech,p101,200,242
Public,p101,243,244
Industrial,p101,245,247
Unknown,p101,248,248
Industrial,p101,249,251
Unknown,p101,252,327
Public,p104,5,6
GASTech,p104,7,7
Public,p104,8,10
GASTech,p104,11,29
Public,p104,30,31
GASTech,p104,32,32
Public,p104,33,34
GASTech,p104,35,53
Public,p104,54,55
GASTech,p104,56,56
Public,p104,57,58
GASTech,p104,59,77
Public,p104,78,78
GASTech,p104,79,79
Public,p104,80,82
GASTech,p104,83,172
Public,p104,173,174
GASTech,p104,175,176
Public,p104,177,179
GASTech,p104,180,197
Public,p104,198,199
GASTech,p104,200,200
Public,p104,201,202
GASTech,p104,203,220
Public,p104,221,223
GASTech,p104,224,224
Public,p104,225,226
GASTech,p104,227,245
Public,p104,246,251
Unknown,p104,252,327
Industrial,p105,27,30
Coffee,p105,31,31
Industrial,p105,32,33
GASTech,p105,34,51
Industrial,p105,52,54
Coffee,p105,55,55
Industrial,p105,56,56
GASTech,p105,57,58
Industrial,p105,59,59
GASTech,p105,60,75
Industrial,p105,76,78
Coffee,p105,79,79
Industrial,p105,80,80
GASTech,p105,81,195
Industrial,p105,196,198
Coffee,p105,199,199
Industrial,p105,200,200
GASTech,p105,201,219
Industrial,p105,220,222
Coffee,p105,223,223
Industrial,p105,224,225
GASTech,p105,226,226
Industrial,p105,227,227
GASTech,p105,228,243
Industrial,p105,244,246
Coffee,p105,247,247
Industrial,p105,248,252
Unknown,p105,253,327
Public,p106,31,31
Industrial,p106,32,34
GASTech,p106,35,50
Industrial,p106,51,54
GASTech,p106,55,79
Industrial,p106,80,83
GASTech,p106,84,199
Industrial,p106,200,203
GASTech,p106,204,219
Industrial,p106,220,222
GASTech,p106,223,247
Industrial,p106,248,251
Unknown,p106,252,254
GASTech,p106,255,327
Industrial,p107,3,6
GASTech,p107,7,27
Industrial,p107,28,30
GASTech,p107,31,31
Industrial,p107,32,54
GASTech,p107,55,55
Industrial,p107,56,78
GASTech,p107,79,79
Industrial,p107,80,102
GASTech,p107,103,171
Industrial,p107,172,174
GASTech,p107,175,195
Industrial,p107,196,198
GASTech,p107,199,219
Industrial,p107,220,222
GASTech,p107,223,224
Industrial,p107,225,227
Unknown,p107,228,228
Industrial,p107,229,246
GASTech,p107,247,267
Industrial,p107,268,270
Unknown,p107,271,272
Industrial,p107,273,327
Coffee,Alcazar_Lucas,2,2
GASTech,Alcazar_Lucas,3,6
Dining,Alcazar_Lucas,7,7
GASTech,Alcazar_Lucas,8,12
Home,Alcazar_Lucas,13,16
GASTech,Alcazar_Lucas,17,19
Home,Alcazar_Lucas,20,25
Coffee,Alcazar_Lucas,26,26
GASTech,Alcazar_Lucas,27,30
Dining,Alcazar_Lucas,31,32
GASTech,Alcazar_Lucas,33,36
Home,Alcazar_Lucas,37,37
Dining,Alcazar_Lucas,38,39
Home,Alcazar_Lucas,40,50
GASTech,Alcazar_Lucas,51,54
Dining,Alcazar_Lucas,55,56
GASTech,Alcazar_Lucas,57,60
Home,Alcazar_Lucas,61,61
Dining,Alcazar_Lucas,62,63
GASTech,Alcazar_Lucas,64,66
Home,Alcazar_Lucas,67,73
Coffee,Alcazar_Lucas,74,74
GASTech,Alcazar_Lucas,75,78
Dining,Alcazar_Lucas,79,80
GASTech,Alcazar_Lucas,81,84
Home,Alcazar_Lucas,85,98
GASTech,Alcazar_Lucas,99,102
Dining,Alcazar_Lucas,103,103
GASTech,Alcazar_Lucas,104,108
Home,Alcazar_Lucas,109,127
Dining,Alcazar_Lucas,128,128
Shopping,Alcazar_Lucas,129,130
Home,Alcazar_Lucas,131,133
Shopping,Alcazar_Lucas,134,134
Home,Alcazar_Lucas,135,151
Dining,Alcazar_Lucas,152,152
Home,Alcazar_Lucas,153,170
GASTech,Alcazar_Lucas,171,174
Dining,Alcazar_Lucas,175,176
GASTech,Alcazar_Lucas,177,180
Home,Alcazar_Lucas,181,181
Dining,Alcazar_Lucas,182,182
Home,Alcazar_Lucas,183,193
Coffee,Alcazar_Lucas,194,194
GASTech,Alcazar_Lucas,195,198
Dining,Alcazar_Lucas,199,199
GASTech,Alcazar_Lucas,200,204
Home,Alcazar_Lucas,205,205
Dining,Alcazar_Lucas,206,207
Home,Alcazar_Lucas,208,218
GASTech,Alcazar_Lucas,219,222
Dining,Alcazar_Lucas,223,223
GASTech,Alcazar_Lucas,224,228
Home,Alcazar_Lucas,229,230
Dining,Alcazar_Lucas,231,231
Home,Alcazar_Lucas,232,233
GASTech,Alcazar_Lucas,234,234
Home,Alcazar_Lucas,235,242
GASTech,Alcazar_Lucas,243,246
Dining,Alcazar_Lucas,247,248
GASTech,Alcazar_Lucas,249,251
Home,Alcazar_Lucas,252,253
Dining,Alcazar_Lucas,254,255
Home,Alcazar_Lucas,256,266
GASTech,Alcazar_Lucas,267,276
Home,Alcazar_Lucas,277,278
Dining,Alcazar_Lucas,279,279
GASTech,Alcazar_Lucas,280,281
Home,Alcazar_Lucas,282,295
Dining,Alcazar_Lucas,296,296
Shopping,Alcazar_Lucas,297,298
Home,Alcazar_Lucas,299,300
Dining,Alcazar_Lucas,301,302
Home,Alcazar_Lucas,303,324
Dining,Alcazar_Lucas,325,327
Dining,Azada_Lars,2,2
GASTech,Azada_Lars,3,6
Dining,Azada_Lars,7,7
GASTech,Azada_Lars,8,11
Home,Azada_Lars,12,13
Dining,Azada_Lars,14,15
Home,Azada_Lars,16,26
GASTech,Azada_Lars,27,30
Dining,Azada_Lars,31,31
GASTech,Azada_Lars,32,36
Home,Azada_Lars,37,37
Dining,Azada_Lars,38,38
Home,Azada_Lars,39,50
GASTech,Azada_Lars,51,54
Dining,Azada_Lars,55,56
GASTech,Azada_Lars,57,59
Home,Azada_Lars,60,60
Dining,Azada_Lars,61,61
Home,Azada_Lars,62,74
GASTech,Azada_Lars,75,78
Dining,Azada_Lars,79,80
GASTech,Azada_Lars,81,83
Home,Azada_Lars,84,98
GASTech,Azada_Lars,99,102
Dining,Azada_Lars,103,104
GASTech,Azada_Lars,105,107
Home,Azada_Lars,108,109
Dining,Azada_Lars,110,110
Home,Azada_Lars,111,132
Dining,Azada_Lars,133,134
Home,Azada_Lars,135,156
Dining,Azada_Lars,157,158
Home,Azada_Lars,159,170
GASTech,Azada_Lars,171,174
Dining,Azada_Lars,175,176
GASTech,Azada_Lars,177,179
Home,Azada_Lars,180,181
Dining,Azada_Lars,182,183
Home,Azada_Lars,184,194
Dining,Azada_Lars,195,195
GASTech,Azada_Lars,196,198
Dining,Azada_Lars,199,200
GASTech,Azada_Lars,201,203
Home,Azada_Lars,204,204
Dining,Azada_Lars,205,206
Home,Azada_Lars,207,218
GASTech,Azada_Lars,219,222
Dining,Azada_Lars,223,223
GASTech,Azada_Lars,224,227
Home,Azada_Lars,228,229
Dining,Azada_Lars,230,230
Home,Azada_Lars,231,242
Dining,Azada_Lars,243,243
GASTech,Azada_Lars,244,246
Dining,Azada_Lars,247,248
GASTech,Azada_Lars,249,251
Home,Azada_Lars,252,253
Shopping,Azada_Lars,254,254
Home,Azada_Lars,255,266
GASTech,Azada_Lars,267,270
Dining,Azada_Lars,271,272
GASTech,Azada_Lars,273,275
Home,Azada_Lars,276,300
Dining,Azada_Lars,301,302
Home,Azada_Lars,303,324
Dining,Azada_Lars,325,327
Dining,Balas_Felix,2,2
GASTech,Balas_Felix,3,6
Dining,Balas_Felix,7,8
GASTech,Balas_Felix,9,12
Home,Balas_Felix,13,26
GASTech,Balas_Felix,27,30
Dining,Balas_Felix,31,32
GASTech,Balas_Felix,33,36
Home,Balas_Felix,37,49
Dining,Balas_Felix,50,50
GASTech,Balas_Felix,51,54
Dining,Balas_Felix,55,56
GASTech,Balas_Felix,57,60
